"행정구역별","업종별",2020.3/4,2020.3/4,2023.3/4 p),2023.3/4 p)
"행정구역별","업종별",경상지수,불변지수,경상지수,불변지수
"경기도","숙박 및 음식점업",104.9,104.7,144.1,123.8
"경기도","부동산업",96.1,96.1,140.2,121.9
"경기도","예술, 스포츠 및 여가관련 서비스업",88.4,91.1,263.4,236.6
